Id,YellowKey,Date,DiscountFactor
S0023D 5Y BLC2,Curncy,8/10/2012,0.955177
S0023D 1Y BLC2,Curncy,8/17/2012,0.995678
S0023D 2Y BLC2,Curncy,8/17/2012,0.990201
S0023D 3Y BLC2,Curncy,8/17/2012,0.98206
S0023D 4Y BLC2,Curncy,8/17/2012,0.969038
S0023D 5Y BLC2,Curncy,8/17/2012,0.950932
S0023D 1Y BLC2,Curncy,8/24/2012,0.995981
S0023D 2Y BLC2,Curncy,8/24/2012,0.991175
S0023D 3Y BLC2,Curncy,8/24/2012,0.984343
S0023D 4Y BLC2,Curncy,8/24/2012,0.972422
S0023D 5Y BLC2,Curncy,8/24/2012,0.955749
S0023D 1Y BLC2,Curncy,8/31/2012,0.996284
S0023D 2Y BLC2,Curncy,8/31/2012,0.99218
S0023D 3Y BLC2,Curncy,8/31/2012,0.986531
S0023D 4Y BLC2,Curncy,8/31/2012,0.976577
S0023D 5Y BLC2,Curncy,8/31/2012,0.961919
S0023D 1Y BLC2,Curncy,9/7/2012,0.996232
S0023D 2Y BLC2,Curncy,9/7/2012,0.992028
S0023D 3Y BLC2,Curncy,9/7/2012,0.986152
S0023D 4Y BLC2,Curncy,9/7/2012,0.975572
S0023D 5Y BLC2,Curncy,9/7/2012,0.959775
S0023D 1Y BLC2,Curncy,9/14/2012,0.996559
S0023D 2Y BLC2,Curncy,9/14/2012,0.9926
S0023D 3Y BLC2,Curncy,9/14/2012,0.98644
S0023D 4Y BLC2,Curncy,9/14/2012,0.975111
S0023D 5Y BLC2,Curncy,9/14/2012,0.957959
S0023D 1Y BLC2,Curncy,9/21/2012,0.996473
S0023D 2Y BLC2,Curncy,9/21/2012,0.992313
S0023D 3Y BLC2,Curncy,9/21/2012,0.986471
S0023D 4Y BLC2,Curncy,9/21/2012,0.976197
S0023D 5Y BLC2,Curncy,9/21/2012,0.960471
S0023D 1Y BLC2,Curncy,9/28/2012,0.996617
S0023D 2Y BLC2,Curncy,9/28/2012,0.992735
S0023D 3Y BLC2,Curncy,9/28/2012,0.987055
S0023D 4Y BLC2,Curncy,9/28/2012,0.977216
S0023D 5Y BLC2,Curncy,9/28/2012,0.962315
S0023D 1Y BLC2,Curncy,10/5/2012,0.996531
S0023D 2Y BLC2,Curncy,10/5/2012,0.992249
S0023D 3Y BLC2,Curncy,10/5/2012,0.986272
S0023D 4Y BLC2,Curncy,10/5/2012,0.975511
S0023D 5Y BLC2,Curncy,10/5/2012,0.959576
S0023D 1Y BLC2,Curncy,10/12/2012,0.99672
S0023D 2Y BLC2,Curncy,10/12/2012,0.992542
